Numero de Orden
"['CA-2017-146171' 'CA-2017-124562' 'CA-2018-150525' 'US-2017-111528'
 'US-2018-106796' 'CA-2018-139787' 'CA-2015-113964' 'CA-2016-152513'
 'CA-2017-134180']"
['CA-2017-122133' 'US-2016-103471']
['CA-2018-117079']
"['US-2017-114622' 'CA-2016-142202' 'CA-2018-143378' 'CA-2018-159506'
 'US-2017-112396']"
['CA-2016-143602' 'CA-2017-153318' 'CA-2018-111220' 'US-2015-127978']
['CA-2017-109806' 'CA-2017-155747' 'CA-2018-104864']
"['US-2016-126214' 'CA-2017-162082' 'CA-2017-115483' 'CA-2017-110492'
 'CA-2015-121769']"
"['US-2016-101399' 'US-2017-134908' 'CA-2015-130274' 'US-2015-166310'
 'CA-2017-124016']"
"['US-2018-147221' 'CA-2017-163776' 'CA-2017-160220' 'CA-2018-163265'
 'CA-2015-156545' 'CA-2018-125990']"
"['CA-2018-139661' 'US-2018-158946' 'CA-2018-116113' 'CA-2017-133935'
 'US-2016-115238' 'CA-2018-135909']"
"['CA-2018-168837' 'CA-2018-163510' 'CA-2018-117023' 'CA-2018-166198'
 'CA-2017-111605' 'US-2016-164238']"
['CA-2017-109176' 'CA-2017-101385' 'CA-2016-120621' 'CA-2016-106208']
"['US-2018-110996' 'CA-2017-124051' 'CA-2015-158337' 'CA-2016-152611'
 'CA-2018-168641' 'CA-2016-142993' 'CA-2018-116498']"
"['CA-2016-102848' 'CA-2018-142034' 'CA-2016-134922' 'CA-2015-101770'
 'CA-2017-125017' 'CA-2018-136238' 'CA-2018-162015']"
"['CA-2016-149587' 'CA-2016-131758' 'CA-2017-133123' 'CA-2016-111703'
 'US-2016-147662' 'CA-2015-103331' 'CA-2018-147354' 'US-2015-159611'
 'CA-2016-168277']"
['CA-2018-101182' 'CA-2018-161067' 'CA-2016-112305']
"['CA-2017-137330' 'CA-2015-129168' 'CA-2018-159352' 'CA-2015-153913'
 'CA-2016-101924' 'CA-2017-108868' 'CA-2018-129357' 'CA-2017-116547'
 'CA-2015-149538' 'CA-2016-138674' 'CA-2016-103716' 'US-2016-118906']"
"['US-2018-118038' 'CA-2015-130960' 'CA-2016-157035' 'CA-2018-158673'
 'CA-2018-159156' 'CA-2017-168361' 'CA-2017-149671']"
"['CA-2017-105760' 'CA-2015-163293' 'CA-2016-109470' 'US-2017-128293'
 'US-2017-138408' 'CA-2016-159590']"
['CA-2017-145625' 'CA-2018-108910' 'CA-2016-125416' 'CA-2017-134691']
['CA-2018-142636' 'CA-2017-138695' 'CA-2018-123687' 'CA-2015-129819']
"['CA-2017-119823' 'US-2017-143819' 'CA-2017-130407' 'CA-2015-165309'
 'CA-2016-110870']"
"['CA-2018-157833' 'CA-2018-121468' 'US-2016-123218' 'CA-2015-113579'
 'US-2015-138828' 'CA-2016-145814']"
"['US-2017-104794' 'CA-2015-125136' 'CA-2016-121650' 'US-2016-148817'
 'CA-2017-117226' 'CA-2016-125066' 'CA-2018-100825' 'US-2017-113985'
 'CA-2018-167542' 'CA-2017-123337' 'CA-2016-114811' 'CA-2018-104619']"
['CA-2017-144792' 'CA-2018-155712' 'US-2017-102141' 'CA-2018-129294']
"['US-2015-109162' 'US-2016-163685' 'US-2016-166520' 'CA-2017-140417'
 'CA-2018-113873' 'CA-2015-120096' 'CA-2018-147550']"
"['CA-2018-166296' 'CA-2018-149559' 'US-2018-148362' 'CA-2018-112333'
 'CA-2015-132451' 'CA-2017-159016' 'US-2018-132675']"
"['CA-2017-157763' 'CA-2017-153577' 'CA-2015-160738' 'CA-2018-128944'
 'CA-2018-158120' 'CA-2015-140396' 'CA-2018-120404' 'CA-2015-138359']"
"['CA-2018-131156' 'CA-2017-137743' 'US-2018-158526' 'CA-2015-118304'
 'CA-2017-101469' 'CA-2015-127166']"
"['CA-2018-117457' 'US-2015-109036' 'CA-2015-138023' 'CA-2018-111262'
 'CA-2015-152233' 'CA-2016-133242']"
"['CA-2018-152275' 'CA-2017-100153' 'CA-2018-164049' 'CA-2017-103037'
 'CA-2016-109575' 'CA-2015-102673' 'CA-2018-147403' 'CA-2016-132633'
 'CA-2018-166898']"
"['CA-2018-163979' 'CA-2017-103891' 'CA-2016-119102' 'CA-2018-118864'
 'CA-2015-163223' 'CA-2016-150714' 'US-2016-120957']"
"['CA-2015-111451' 'US-2015-141215' 'CA-2017-160395' 'US-2017-129469'
 'CA-2018-147760' 'US-2017-153815' 'CA-2018-147333' 'CA-2018-103478']"
"['CA-2017-157749' 'CA-2016-128167' 'CA-2017-133725' 'CA-2015-143917'
 'CA-2016-115798' 'CA-2015-154641' 'CA-2018-112900' 'CA-2017-133550'
 'CA-2018-164042' 'CA-2016-131072' 'CA-2017-157742' 'US-2018-140312']"
"['CA-2016-108665' 'CA-2018-116358' 'CA-2018-148012' 'CA-2017-119935'
 'US-2016-138093' 'CA-2018-137463']"
"['CA-2017-159212' 'CA-2016-148628' 'CA-2015-143903' 'CA-2017-149454'
 'CA-2018-135937' 'CA-2015-133592' 'CA-2016-163734' 'CA-2018-159135']"
"['US-2016-168732' 'CA-2015-133543' 'CA-2017-140046' 'CA-2017-132990'
 'CA-2018-154116']"
"['CA-2016-135545' 'US-2015-157021' 'CA-2015-169033' 'CA-2015-126760'
 'CA-2015-100678' 'CA-2017-109666' 'US-2016-106873' 'CA-2018-167395']"
"['CA-2018-164959' 'CA-2015-132864' 'CA-2016-109001' 'CA-2018-129581'
 'CA-2018-113908' 'CA-2016-154823' 'CA-2018-140802' 'CA-2018-113460']"
"['CA-2015-112718' 'CA-2015-154599' 'CA-2016-155145' 'CA-2016-123456'
 'CA-2018-155621']"
"['CA-2018-138422' 'CA-2018-126067' 'CA-2018-102554' 'CA-2015-157609'
 'CA-2017-140613' 'CA-2015-107524' 'CA-2016-105613']"
['CA-2016-155124' 'CA-2018-155824' 'CA-2016-169677']
"['US-2015-151925' 'CA-2017-112669' 'CA-2016-158456' 'US-2017-133879'
 'US-2015-117170' 'CA-2015-146283' 'CA-2017-112060']"
"['CA-2016-132570' 'US-2015-140116' 'CA-2017-146206' 'CA-2015-155887'
 'CA-2018-123351' 'CA-2018-159107' 'CA-2018-126718' 'CA-2018-105326'
 'CA-2015-116666' 'CA-2018-142461']"
"['CA-2018-144904' 'US-2016-149692' 'CA-2017-146682' 'CA-2016-102491'
 'CA-2018-115805']"
['CA-2015-140886' 'CA-2016-102722' 'US-2016-124219' 'US-2016-158589']
"['CA-2016-125395' 'CA-2015-163552' 'CA-2018-130771' 'CA-2017-164091'
 'CA-2017-155187' 'CA-2017-108882' 'CA-2016-129700' 'CA-2017-123806'
 'CA-2017-122903' 'CA-2015-107811' 'CA-2017-132829']"
['CA-2018-160045' 'CA-2017-111115' 'CA-2018-154088']
"['US-2017-162103' 'US-2015-150119' 'CA-2017-131968' 'CA-2017-124583'
 'US-2017-157490' 'CA-2018-118199' 'US-2017-155768' 'CA-2018-147032']"
"['US-2016-156867' 'CA-2017-167584' 'CA-2017-111283' 'US-2018-125647'
 'CA-2016-150770' 'CA-2018-118017' 'CA-2017-110898' 'CA-2018-113705']"
"['CA-2017-145583' 'CA-2015-139192' 'CA-2015-110100' 'CA-2018-143861'
 'CA-2016-157133' 'CA-2016-124058' 'US-2018-113992' 'CA-2017-107146'
 'CA-2016-106362' 'CA-2017-103359' 'US-2016-163825' 'CA-2018-157448']"
"['CA-2018-120999' 'CA-2017-152289' 'US-2018-137491' 'CA-2017-107202'
 'CA-2017-111913' 'CA-2015-109491' 'CA-2018-167080' 'CA-2017-143476']"
['CA-2017-105753' 'US-2017-139262' 'CA-2016-132276' 'CA-2016-111038']
"['CA-2015-115161' 'CA-2018-137498' 'CA-2017-118514' 'CA-2015-129147'
 'US-2018-119319']"
"['US-2018-116701' 'CA-2018-133431' 'CA-2017-130477' 'CA-2017-137043'
 'CA-2016-119907' 'CA-2015-102869' 'CA-2018-169439' 'CA-2017-101693'
 'CA-2018-162789']"
['CA-2017-152331']
['CA-2017-142762' 'CA-2017-139878' 'CA-2015-124856' 'CA-2017-116379']
"['CA-2018-108329' 'CA-2017-157245' 'US-2015-117058' 'CA-2016-131779'
 'US-2018-150595' 'CA-2015-100706']"
"['CA-2015-113166' 'CA-2017-106341' 'CA-2016-109512' 'CA-2015-110030'
 'CA-2018-148264' 'CA-2018-118521' 'CA-2015-169019']"
['CA-2018-133235' 'CA-2018-129707' 'CA-2015-117478']
"['CA-2017-169194' 'US-2015-156559' 'US-2018-169320' 'CA-2015-123323'
 'US-2018-103814' 'CA-2017-113733' 'CA-2015-126277' 'US-2016-136749'
 'CA-2015-109855']"
['CA-2016-114923' 'US-2015-115987' 'CA-2017-166443' 'CA-2018-105991']
"['CA-2017-154739' 'US-2017-139486' 'US-2017-131149' 'CA-2017-141019'
 'CA-2017-133340' 'CA-2016-121965' 'CA-2015-113320' 'US-2017-131912'
 'CA-2017-144092']"
"['CA-2015-134061' 'CA-2016-164833' 'US-2018-163195' 'CA-2018-120222'
 'CA-2016-137974']"
"['US-2016-120161' 'CA-2015-104283' 'CA-2016-169740' 'CA-2017-105277'
 'CA-2017-105263']"
"['CA-2016-143238' 'CA-2018-118367' 'CA-2018-141572' 'CA-2018-163860'
 'CA-2016-104038']"
['CA-2018-118731' 'CA-2018-133823' 'CA-2017-116722' 'CA-2015-159814']
"['CA-2018-121804' 'CA-2017-118969' 'CA-2018-106782' 'CA-2017-103709'
 'CA-2018-102736' 'CA-2018-121790']"
"['CA-2015-131450' 'US-2017-148803' 'CA-2017-125206' 'CA-2018-109183'
 'CA-2016-141327' 'CA-2017-126732']"
"['CA-2016-102876' 'CA-2018-119011' 'CA-2018-103506' 'CA-2015-109918'
 'CA-2017-143406']"
"['CA-2017-134362' 'CA-2017-114727' 'CA-2018-100223' 'CA-2018-108000'
 'US-2018-128832' 'CA-2016-115420']"
"['US-2017-125969' 'CA-2018-108294' 'CA-2017-112025' 'US-2016-138919'
 'CA-2018-164168' 'CA-2018-117702' 'US-2015-147648' 'CA-2015-137092'
 'US-2016-118766']"
"['CA-2018-131618' 'CA-2017-160129' 'CA-2018-169929' 'CA-2015-115084'
 'US-2018-165869' 'CA-2015-141110']"
['US-2016-111927' 'CA-2016-118955' 'CA-2015-130813']
"['CA-2018-135307' 'CA-2016-165414' 'CA-2015-124730' 'US-2015-109456'
 'CA-2017-152765' 'CA-2017-136994']"
['CA-2015-126522' 'US-2016-122910' 'CA-2018-160031']
"['CA-2016-154620' 'US-2016-104430' 'CA-2018-122700' 'US-2015-165659'
 'CA-2017-159373' 'CA-2018-147725' 'CA-2017-157364' 'CA-2016-168207']"
"['CA-2015-160773' 'CA-2015-164721' 'CA-2017-109827' 'CA-2015-103429'
 'CA-2018-144820']"
"['CA-2018-152142' 'CA-2018-158407' 'CA-2018-162978' 'CA-2018-102834'
 'CA-2018-101245' 'US-2017-102239']"
['CA-2018-117436' 'CA-2015-112837' 'CA-2017-157280']
"['CA-2018-166128' 'CA-2017-111416' 'US-2017-117037' 'CA-2017-132997'
 'CA-2018-102218' 'CA-2015-116246' 'CA-2018-102659']"
"['CA-2018-107727' 'CA-2018-110373' 'CA-2016-143105' 'CA-2015-168823'
 'CA-2015-124478' 'CA-2018-158722' 'CA-2015-140732' 'CA-2016-130974'
 'US-2017-117793' 'CA-2017-128916' 'CA-2016-110324']"
"['CA-2018-123638' 'CA-2015-133704' 'US-2017-165078' 'CA-2017-152247'
 'CA-2015-132010' 'CA-2016-157028']"
"['CA-2018-105074' 'CA-2015-151708' 'CA-2016-144288' 'CA-2018-169124'
 'CA-2017-118759' 'CA-2018-163125' 'CA-2016-168529' 'CA-2016-145828'
 'CA-2018-149944' 'CA-2016-113131']"
"['US-2017-128902' 'CA-2015-141817' 'CA-2018-151071' 'CA-2018-144498'
 'CA-2018-122945' 'CA-2017-112382' 'CA-2017-142524']"
"['CA-2016-143119' 'CA-2016-114237' 'CA-2016-168459' 'CA-2016-105599'
 'CA-2015-107818' 'CA-2017-146318' 'CA-2018-154949' 'CA-2017-118899']"
"['CA-2017-133711' 'CA-2017-130050' 'CA-2016-161711' 'US-2017-168095'
 'CA-2015-140473']"
"['CA-2018-167703' 'CA-2016-125423' 'CA-2016-135314' 'CA-2018-115175'
 'US-2018-149510' 'CA-2016-117772' 'CA-2015-101147' 'US-2017-157840']"
"['CA-2017-131835' 'CA-2018-159597' 'CA-2015-127446' 'CA-2017-157868'
 'CA-2015-130673' 'CA-2017-113082']"
"['CA-2018-145142' 'US-2015-161613' 'CA-2017-145492' 'CA-2018-160962'
 'CA-2015-103989' 'CA-2016-145394' 'US-2018-146213' 'CA-2018-134810']"
['CA-2015-164861' 'CA-2017-139010' 'US-2018-151316' 'US-2015-120175']
"['CA-2015-157784' 'CA-2018-148446' 'US-2018-102638' 'CA-2017-146143'
 'CA-2015-156594' 'US-2018-128447' 'CA-2017-116337']"
"['CA-2015-101602' 'CA-2018-152807' 'CA-2018-126242' 'CA-2016-111073'
 'US-2016-129637' 'CA-2016-168809' 'CA-2018-113075' 'CA-2017-139808'
 'CA-2016-116512' 'CA-2015-123855']"
"['CA-2017-115504' 'CA-2016-148432' 'CA-2016-163104' 'CA-2017-129868'
 'CA-2015-132787']"
"['CA-2016-134782' 'CA-2018-149181' 'CA-2018-109757' 'CA-2017-162383'
 'CA-2018-132290' 'CA-2015-114251']"
"['CA-2018-154410' 'US-2015-117744' 'CA-2018-104024' 'CA-2018-153654'
 'CA-2018-100055']"
"['CA-2018-148474' 'US-2018-124926' 'CA-2018-143434' 'CA-2017-152555'
 'CA-2017-159142' 'CA-2016-144302' 'CA-2018-129910' 'CA-2015-167199'
 'CA-2018-137624' 'CA-2017-160717']"
"['US-2017-123470' 'CA-2018-116645' 'CA-2018-166415' 'CA-2016-161830'
 'CA-2018-143756' 'CA-2015-124807' 'CA-2018-137449' 'CA-2016-155635']"
['CA-2015-116932' 'CA-2016-169278' 'CA-2018-148138' 'CA-2015-126333']
"['CA-2017-126543' 'US-2015-169789' 'CA-2017-165827' 'CA-2017-114307'
 'US-2017-102232']"
"['CA-2016-144722' 'CA-2015-149594' 'US-2018-162670' 'CA-2016-128013'
 'CA-2016-162964']"
"['CA-2017-105284' 'CA-2015-166471' 'CA-2017-139395' 'US-2018-169502'
 'CA-2018-145660' 'CA-2018-152135' 'CA-2018-152933']"
['CA-2015-110072' 'CA-2016-151043' 'CA-2018-121300' 'US-2018-109316']
['US-2017-142685' 'CA-2015-139598' 'CA-2016-164007']
"['CA-2017-131499' 'CA-2018-120705' 'CA-2016-124975' 'CA-2016-134992'
 'CA-2015-103744']"
"['CA-2018-136672' 'CA-2017-154053' 'CA-2016-146948' 'CA-2018-166933'
 'CA-2018-102967' 'CA-2018-127712' 'CA-2015-118276' 'CA-2018-121125'
 'CA-2017-163972']"
['US-2016-138303' 'CA-2018-108574' 'CA-2018-123239' 'CA-2015-137274']
['CA-2018-115070']
"['US-2017-108497' 'US-2018-141558' 'CA-2015-116785' 'US-2017-135209'
 'CA-2016-137603']"
['CA-2017-141523' 'US-2015-164763' 'CA-2017-163048' 'CA-2015-104808']
"['CA-2016-100888' 'US-2017-143448' 'CA-2015-160157' 'CA-2018-136364'
 'CA-2015-133305' 'CA-2017-113341' 'CA-2018-154809']"
['CA-2018-130841' 'CA-2016-156440' 'CA-2017-153185' 'CA-2017-132017']
"['CA-2016-154144' 'CA-2015-124429' 'CA-2015-159478' 'CA-2016-138954'
 'CA-2017-108959' 'CA-2018-103520' 'CA-2015-124702']"
"['CA-2016-148635' 'CA-2018-125878' 'CA-2015-150301' 'CA-2018-115448'
 'CA-2018-103212']"
"['CA-2018-144638' 'CA-2018-127026' 'US-2017-160528' 'CA-2018-121839'
 'CA-2018-114055' 'US-2018-114657' 'CA-2018-161088' 'US-2018-108315'
 'CA-2018-137785']"
"['CA-2017-113817' 'CA-2017-124149' 'CA-2018-147291' 'CA-2016-101868'
 'US-2018-131961' 'CA-2017-106397' 'CA-2017-100300']"
"['CA-2017-155516' 'CA-2018-164917' 'CA-2016-107468' 'US-2018-132206'
 'US-2017-148901' 'CA-2017-132479' 'CA-2018-100580' 'CA-2015-161032']"
['US-2015-150574' 'US-2017-108455' 'CA-2018-128755' 'CA-2018-163209']
"['CA-2015-156349' 'CA-2017-137673' 'CA-2015-164742' 'CA-2018-150602'
 'CA-2018-156363' 'CA-2016-120845' 'CA-2017-168830' 'CA-2015-134215'
 'CA-2015-121762']"
"['CA-2015-125556' 'CA-2018-154109' 'US-2018-142573' 'CA-2018-121580'
 'CA-2018-152079']"
"['CA-2017-110254' 'CA-2018-140242' 'CA-2018-133648' 'CA-2018-143455'
 'US-2018-120089' 'CA-2018-107265' 'CA-2018-103968']"
['CA-2018-168655' 'CA-2018-158953' 'CA-2018-113208']
['CA-2018-132262' 'CA-2016-136224']
['CA-2018-166142' 'CA-2017-120355' 'CA-2015-108861' 'CA-2018-138156']
"['CA-2018-128160' 'US-2016-157154' 'CA-2018-164329' 'CA-2018-121216'
 'CA-2018-117394' 'CA-2017-122063' 'CA-2015-101266' 'US-2017-121013'
 'CA-2017-101329' 'CA-2015-118192']"
"['CA-2018-127285' 'US-2018-124968' 'US-2016-141684' 'CA-2018-164378'
 'CA-2015-144029' 'US-2016-165743' 'CA-2015-110555' 'US-2018-104451']"
"['US-2017-134656' 'CA-2016-119592' 'CA-2018-148068' 'CA-2017-124793'
 'CA-2018-109099' 'US-2015-147774' 'CA-2018-112172' 'CA-2016-168760'
 'CA-2016-132941']"
"['CA-2015-122567' 'CA-2018-123659' 'CA-2018-165204' 'CA-2015-123225'
 'CA-2018-100097' 'CA-2017-165673']"
['CA-2017-102981' 'CA-2015-121167' 'CA-2017-121601' 'CA-2018-117653']
"['CA-2018-163020' 'US-2018-106663' 'CA-2016-133025' 'CA-2017-128727'
 'CA-2016-139094' 'CA-2018-157931' 'CA-2018-169054' 'CA-2018-145506']"
['US-2016-122140' 'US-2018-166233']
"['CA-2016-102281' 'CA-2016-147851' 'CA-2015-147914' 'CA-2015-145926'
 'CA-2015-162089' 'CA-2017-141887']"
"['CA-2018-125388' 'CA-2017-142335' 'CA-2018-155152' 'CA-2017-116974'
 'US-2016-149629' 'CA-2017-139689' 'CA-2016-110765' 'US-2016-145121'
 'US-2016-163433']"
"['CA-2018-124086' 'CA-2016-135685' 'CA-2018-169859' 'CA-2015-119151'
 'CA-2018-167661' 'US-2017-127334' 'CA-2016-166338' 'CA-2017-163636']"
['CA-2015-117429' 'US-2018-139465' 'US-2015-120236' 'CA-2018-111759']
"['CA-2015-144407' 'CA-2015-127488' 'CA-2016-120103' 'CA-2018-147942'
 'CA-2016-130659' 'CA-2015-120278' 'CA-2017-150658' 'CA-2016-140221'
 'CA-2017-150077' 'CA-2017-107104']"
['CA-2015-149244' 'CA-2015-133809' 'CA-2016-108119' 'CA-2017-169887']
"['CA-2017-134348' 'CA-2017-119186' 'CA-2015-133228' 'CA-2016-134257'
 'CA-2015-143637' 'CA-2016-123939']"
"['CA-2015-119032' 'US-2015-164616' 'CA-2017-150350' 'US-2017-144547'
 'CA-2015-137589' 'CA-2016-135020' 'CA-2015-138709' 'CA-2016-164623'
 'CA-2018-132619']"
['CA-2015-135405' 'CA-2016-135272' 'CA-2016-124044' 'CA-2017-131296']
"['CA-2016-101007' 'CA-2016-160794' 'CA-2016-142377' 'CA-2015-116757'
 'CA-2016-153906' 'CA-2018-117667']"
"['CA-2016-105312' 'CA-2017-104157' 'CA-2017-162726' 'CA-2018-154137'
 'CA-2016-127502' 'US-2018-146906']"
['CA-2018-140963' 'US-2015-112914' 'CA-2016-156608' 'CA-2017-128671']
"['CA-2018-122994' 'CA-2018-169894' 'CA-2015-148614' 'CA-2016-132948'
 'CA-2017-133319' 'CA-2018-103415' 'CA-2016-119690' 'CA-2018-122308'
 'CA-2017-161361']"
"['CA-2018-101798' 'CA-2017-127698' 'CA-2016-120320' 'CA-2017-114895'
 'CA-2015-134103' 'CA-2017-123512' 'CA-2016-107020']"
"['US-2016-137960' 'CA-2016-164336' 'CA-2018-107986' 'CA-2015-103660'
 'CA-2017-138667' 'CA-2015-125997' 'CA-2015-150518']"
['CA-2015-117639' 'CA-2018-136308']
"['US-2017-105578' 'CA-2018-132234' 'CA-2016-139290' 'CA-2018-163902'
 'CA-2018-138618' 'US-2018-101721' 'US-2018-128118']"
"['US-2017-132423' 'CA-2015-118976' 'CA-2017-151169' 'CA-2015-105984'
 'CA-2018-133067' 'CA-2018-167626' 'CA-2017-139549' 'US-2017-160206'
 'US-2018-115252' 'CA-2017-164770']"
['CA-2016-117611' 'CA-2018-147144' 'CA-2018-107314' 'CA-2017-114748']
"['CA-2016-131457' 'CA-2016-125178' 'CA-2017-169922' 'US-2015-128685'
 'CA-2018-136511' 'CA-2015-128524']"
['CA-2015-164385' 'CA-2015-151967']
"['CA-2017-161816' 'CA-2017-140928' 'CA-2015-125542' 'CA-2016-110289'
 'CA-2016-101126' 'CA-2017-132066' 'CA-2018-107825' 'CA-2018-110310'
 'US-2018-125213']"
"['CA-2016-112452' 'CA-2017-124485' 'CA-2018-111332' 'CA-2015-111899'
 'US-2015-113124']"
"['CA-2017-156503' 'CA-2015-135755' 'CA-2016-144190' 'CA-2018-131254'
 'US-2016-113593' 'CA-2015-165393']"
"['US-2017-131674' 'CA-2018-149881' 'CA-2018-163874' 'CA-2018-139402'
 'CA-2018-148355' 'CA-2015-145254' 'CA-2015-114321']"
"['US-2017-100839' 'CA-2016-116687' 'CA-2018-100951' 'CA-2018-169404'
 'CA-2015-166590']"
"['CA-2017-145247' 'CA-2016-114069' 'CA-2015-148915' 'CA-2015-109232'
 'US-2018-156356' 'CA-2018-128699' 'CA-2018-105410' 'US-2018-117331'
 'CA-2017-130778']"
"['US-2016-140851' 'CA-2015-131905' 'CA-2018-107167' 'CA-2018-164112'
 'CA-2018-127803' 'CA-2015-138177']"
"['CA-2018-155705' 'US-2017-157945' 'CA-2016-147830' 'CA-2015-127614'
 'CA-2017-113551' 'CA-2018-130505']"
['CA-2017-162404' 'US-2015-132745' 'CA-2015-100293' 'US-2016-100069']
"['CA-2016-110667' 'CA-2018-100335' 'CA-2018-151358' 'CA-2015-169460'
 'US-2016-139675' 'US-2015-131870' 'CA-2016-160864']"
"['CA-2018-117947' 'US-2016-130519' 'US-2018-116659' 'CA-2018-120019'
 'CA-2015-100762']"
"['CA-2015-115973' 'CA-2018-130386' 'CA-2015-122749' 'CA-2016-103961'
 'CA-2016-137708']"
"['CA-2017-123722' 'CA-2018-100384' 'CA-2018-122693' 'CA-2016-113901'
 'CA-2016-147102' 'US-2018-136721']"
"['CA-2016-118948' 'CA-2017-141586' 'CA-2018-148166' 'CA-2018-126536'
 'CA-2018-162712' 'CA-2017-102561' 'CA-2018-130148']"
['US-2016-139759' 'US-2018-163790' 'CA-2017-147473' 'US-2015-120313']
"['CA-2015-164973' 'US-2016-152128' 'CA-2015-150581' 'CA-2016-136805'
 'CA-2018-125367' 'CA-2015-125759' 'CA-2015-111857']"
"['CA-2017-112340' 'US-2016-105676' 'US-2017-157308' 'US-2016-100531'
 'US-2018-107636' 'CA-2017-136049' 'CA-2016-162166' 'CA-2017-153598'
 'CA-2017-158806' 'CA-2017-168844']"
"['US-2015-117135' 'CA-2016-143490' 'CA-2016-131338' 'CA-2018-126865'
 'CA-2015-114433' 'CA-2015-117464']"
"['CA-2017-114104' 'CA-2017-162110' 'CA-2016-138485' 'CA-2018-167227'
 'CA-2018-150091']"
"['CA-2017-113138' 'CA-2016-141768' 'CA-2016-156104' 'US-2015-131982'
 'CA-2016-125696']"
"['CA-2015-168494' 'CA-2018-169264' 'CA-2015-106572' 'CA-2018-138310'
 'CA-2015-142510' 'CA-2017-125094' 'CA-2017-105459']"
"['CA-2015-106229' 'CA-2015-112851' 'CA-2018-140872' 'CA-2017-109400'
 'CA-2017-152688']"
['CA-2017-128531' 'CA-2018-129378' 'CA-2018-121195' 'CA-2018-153045']
"['CA-2018-115651' 'CA-2015-159338' 'CA-2016-163895' 'CA-2016-123155'
 'CA-2018-134635' 'CA-2017-162187' 'US-2016-160563' 'US-2016-117492'
 'CA-2017-144645' 'CA-2018-141614' 'CA-2016-108259' 'CA-2017-131639']"
"['CA-2015-168984' 'CA-2015-138317' 'CA-2016-115511' 'CA-2016-102582'
 'US-2016-160857' 'CA-2018-127656' 'CA-2017-159023']"
"['CA-2017-110772' 'CA-2016-144267' 'US-2018-148054' 'CA-2017-164154'
 'CA-2017-134222' 'CA-2018-154676' 'US-2015-106299' 'CA-2018-150609'
 'US-2017-158680']"
"['CA-2017-118255' 'US-2016-161466' 'CA-2015-121286' 'CA-2016-112014'
 'CA-2015-140039' 'US-2017-151862' 'US-2016-117184' 'CA-2015-154095'
 'CA-2017-130820']"
"['CA-2017-113243' 'CA-2018-115364' 'CA-2018-162173' 'CA-2016-109169'
 'CA-2017-107783']"
"['CA-2016-129476' 'CA-2016-105970' 'CA-2015-148761' 'US-2017-158309'
 'CA-2018-140508' 'US-2017-117387']"
['CA-2017-125738' 'CA-2016-146465' 'CA-2018-156958']
['CA-2017-150889' 'CA-2015-128888' 'CA-2018-161970' 'US-2018-101518']
"['CA-2017-148796' 'CA-2016-167269' 'US-2015-150532' 'CA-2016-137526'
 'CA-2015-107573' 'US-2015-111353' 'CA-2018-142391' 'CA-2015-146843']"
['CA-2017-164938' 'CA-2015-149055']
['CA-2017-105494' 'CA-2015-150245' 'CA-2017-159639' 'US-2018-162068']
['CA-2016-153388' 'US-2015-163797']
['CA-2016-129896' 'CA-2015-166457' 'CA-2016-140025' 'US-2016-126977']
"['US-2015-134614' 'CA-2018-118437' 'CA-2016-101707' 'CA-2016-111458'
 'CA-2017-162355' 'CA-2017-138233']"
"['CA-2018-110380' 'CA-2017-114972' 'US-2017-163258' 'US-2018-130687'
 'CA-2017-160234']"
"['US-2015-102071' 'CA-2017-144344' 'US-2017-162859' 'CA-2017-106306'
 'CA-2018-123701' 'CA-2017-150000' 'CA-2018-140186' 'US-2016-155369'
 'CA-2017-151561' 'US-2016-129553' 'CA-2017-103464' 'CA-2015-109890'
 'US-2018-116491']"
"['CA-2018-155558' 'CA-2017-111010' 'CA-2015-103849' 'CA-2017-147578'
 'CA-2016-166464' 'CA-2018-148320' 'CA-2018-122056' 'CA-2016-134117'
 'US-2018-135986']"
['CA-2018-113558']
"['CA-2017-112676' 'CA-2016-137897' 'CA-2016-154746' 'CA-2018-103009'
 'US-2018-108700' 'CA-2015-135993' 'CA-2018-105130' 'CA-2017-160136']"
"['CA-2018-143686' 'CA-2015-124023' 'CA-2018-151218' 'CA-2018-163069'
 'CA-2017-153101' 'CA-2017-137939']"
['CA-2017-158099' 'CA-2015-105172']
"['CA-2015-105893' 'CA-2017-115756' 'US-2017-134488' 'CA-2017-150343'
 'CA-2018-107461' 'CA-2018-147753' 'CA-2018-132346' 'CA-2018-116680'
 'CA-2017-118332' 'CA-2017-129126' 'CA-2017-166282' 'US-2018-102183']"
"['CA-2018-109946' 'US-2017-113509' 'CA-2018-165757' 'CA-2018-119564'
 'CA-2015-168305']"
['CA-2015-117709' 'CA-2016-141250' 'CA-2017-102092']
['CA-2017-165148' 'CA-2017-149685' 'US-2016-134558' 'CA-2018-159667']
"['CA-2018-161018' 'US-2017-118780' 'CA-2017-155439' 'US-2018-148768'
 'CA-2016-141936' 'CA-2018-132213' 'CA-2017-138597' 'US-2018-132031']"
"['US-2017-141544' 'US-2018-106705' 'CA-2018-129021' 'CA-2018-149853'
 'CA-2017-111409' 'CA-2015-159681' 'CA-2015-148782' 'CA-2016-104486'
 'US-2018-101784' 'CA-2018-141705' 'CA-2016-130183']"
"['CA-2015-146703' 'CA-2018-140088' 'CA-2018-143259' 'CA-2015-120838'
